date,gdp,gdp_growth,entropy,year,crisis
2007-01-01,16611.69,0.015767249700146868,2.47001096656854,2007,1
2007-04-01,16713.314,0.01934374720018117,2.458972959770295,2007,1
2007-07-01,16809.587,0.023680360773066234,2.4564038350311908,2007,1
2007-10-01,16915.191,0.02133364682457861,2.4555368754347886,2007,1
2008-01-01,16843.003,0.013924712055185307,2.453259162419189,2008,0
2008-04-01,16943.291,0.013760107660276244,2.447249584149302,2008,0
2008-07-01,16854.295,0.0026596727212868654,2.4427699780600745,2008,0
2008-10-01,16485.35,-0.025411536884212604,2.3932791737780206,2008,0
2009-01-01,16298.262,-0.03234227293078318,2.396586256427016,2009,0
2009-04-01,16269.145,-0.03978837405318725,2.3962803916644293,2009,0
2009-07-01,16326.281,-0.031328157006863644,2.380288585218067,2009,0
2009-10-01,16502.754,0.001055725234829774,2.3767569230860484,2009,0
2010-01-01,16582.71,0.017452658449103264,2.2977742415009046,2010,0
2010-04-01,16743.162,0.0291359502911801,2.3004089771278244,2010,0
2010-07-01,16872.266,0.03344209253779229,2.3014861831704856,2010,0
2010-10-01,16960.864,0.027759609093124693,2.297733963514795,2010,0
2011-01-01,16920.632,0.020377971996133448,2.29974025341916,2011,0
2011-04-01,17035.114,0.017437088645501975,2.310725539482642,2011,0
2011-07-01,17031.313,0.009426534645672335,2.3182077960957517,2011,0
2011-10-01,17222.583,0.01543075871606514,2.3557589357672692,2011,0
2012-01-01,17367.01,0.026380693108862374,2.345870701428976,2012,0
2012-04-01,17444.525,0.02403335839137921,2.348487051897597,2012,0
2012-07-01,17469.65,0.025737123144880414,2.363180005945667,2012,0
2012-10-01,17489.852,0.01551852007332477,2.367453946255749,2012,0
2013-01-01,17662.4,0.01700868485709428,2.435596357371934,2013,0
2013-04-01,17709.671,0.015199382041070075,2.4351115741875984,2013,0
2013-07-01,17860.45,0.02237022493295515,2.433802275010969,2013,0
2013-10-01,18016.147,0.030091449601746367,2.4462583410196976,2013,0
2014-01-01,17953.974,0.01650817555938011,2.4429500894469074,2014,0
2014-04-01,18185.911,0.026891521587272926,2.4410974125738907,2014,0
2014-07-01,18406.941,0.03059782928201682,2.4390926936411295,2014,0
2014-10-01,18500.031,0.026858351011456394,2.4516337193913755,2014,0
